,x_yng,x_old
722,"[-28.7807     -28.28906191 -26.86742424 -24.6698435  -21.93446166
 -18.95769979 -16.06213623 -13.5615502  -11.72691902 -10.75705344
 -10.75705344 -11.72691902 -13.5615502  -16.06213623 -18.95769979
 -21.93446166 -24.6698435  -26.86742424 -28.28906191 -28.7807    ]","[ -49.4216      -51.2377302   -56.48931492  -64.60726347  -74.71187015
  -85.70814405  -96.40446826 -105.64173009 -112.41892888 -116.00164998
 -116.00164998 -112.41892888 -105.64173009  -96.40446826  -85.70814405
  -74.71187015  -64.60726347  -56.48931492  -51.2377302   -49.4216    ]"
723,"[ -2.2043      -3.52126612  -7.32945078 -13.21617807 -20.54352975
 -28.51747357 -36.27390899 -42.97230588 -47.886789   -50.48479784
 -50.48479784 -47.886789   -42.97230588 -36.27390899 -28.51747357
 -20.54352975 -13.21617807  -7.32945078  -3.52126612  -2.2043    ]","[-0.4291     -0.44796102 -0.50250019 -0.58680735 -0.6917465  -0.80594587
 -0.91703018 -1.01296172 -1.08334481 -1.12055237 -1.12055237 -1.08334481
 -1.01296172 -0.91703018 -0.80594587 -0.6917465  -0.58680735 -0.50250019
 -0.44796102 -0.4291    ]"
724,"[ -58.7329      -60.31673788  -64.89661811  -71.97623961  -80.78841553
  -90.37820988  -99.70641964 -107.76218853 -113.67254901 -116.7970218
 -116.7970218  -113.67254901 -107.76218853  -99.70641964  -90.37820988
  -80.78841553  -71.97623961  -64.89661811  -60.31673788  -58.7329    ]","[-33.7799     -34.21881827 -35.48800948 -37.44993706 -39.89199571
 -42.5495505  -45.13461413 -47.36705483 -49.00495302 -49.87081701
 -49.87081701 -49.00495302 -47.36705483 -45.13461413 -42.5495505
 -39.89199571 -37.44993706 -35.48800948 -34.21881827 -33.7799    ]"
725,"[ -8.4747      -8.57928898  -8.88172207  -9.34922597  -9.93113936
 -10.56440291 -11.18039268 -11.71235662 -12.10264818 -12.30897322
 -12.30897322 -12.10264818 -11.71235662 -11.18039268 -10.56440291
  -9.93113936  -9.34922597  -8.88172207  -8.57928898  -8.4747    ]","[-102.138      -102.2728067  -102.66261841 -103.26519298 -104.01523211
 -104.83145741 -105.62541822 -106.31107655 -106.81413069 -107.08006692
 -107.08006692 -106.81413069 -106.31107655 -105.62541822 -104.83145741
 -104.01523211 -103.26519298 -102.66261841 -102.2728067  -102.138     ]"
726,"[ -16.6336      -19.09822738  -26.22502891  -37.24170505  -50.954428
  -65.87721146  -80.39294029  -92.92861003 -102.12578636 -106.98781252
 -106.98781252 -102.12578636  -92.92861003  -80.39294029  -65.87721146
  -50.954428    -37.24170505  -26.22502891  -19.09822738  -16.6336    ]","[-101.236      -101.53165906 -102.38659698 -103.70816799 -105.35315934
 -107.14331071 -108.88463142 -110.38842235 -111.49172442 -112.07497772
 -112.07497772 -111.49172442 -110.38842235 -108.88463142 -107.14331071
 -105.35315934 -103.70816799 -102.38659698 -101.53165906 -101.236     ]"
727,"[-85.4203     -85.34760841 -85.13741091 -84.81248565 -84.40804333
 -83.96791155 -83.53978542 -83.17005904 -82.89879802 -82.75539768
 -82.75539768 -82.89879802 -83.17005904 -83.53978542 -83.96791155
 -84.40804333 -84.81248565 -85.13741091 -85.34760841 -85.4203    ]","[ -95.1016      -95.59219779  -97.01082726  -99.2037579  -101.93335166
 -104.90381468 -107.79325122 -110.28854599 -112.11929508 -113.08710842
 -113.08710842 -112.11929508 -110.28854599 -107.79325122 -104.90381468
 -101.93335166  -99.2037579   -97.01082726  -95.59219779  -95.1016    ]"
728,"[ -82.94        -83.93856114  -86.82603498  -91.28951892  -96.84532521
 -102.89139605 -108.77254583 -113.85146072 -117.5777615  -119.54764564
 -119.54764564 -117.5777615  -113.85146072 -108.77254583 -102.89139605
  -96.84532521  -91.28951892  -86.82603498  -83.93856114  -82.94      ]","[-96.6461     -96.70090044 -96.85936329 -97.10431663 -97.40921598
 -97.74102075 -98.06377475 -98.34250258 -98.54699975 -98.65510582
 -98.65510582 -98.54699975 -98.34250258 -98.06377475 -97.74102075
 -97.40921598 -97.10431663 -96.85936329 -96.70090044 -96.6461    ]"
729,"[-107.2622     -107.22597341 -107.12121934 -106.95928954 -106.7577316
 -106.53838745 -106.32502644 -106.14076954 -106.00558385 -105.93411883
 -105.93411883 -106.00558385 -106.14076954 -106.32502644 -106.53838745
 -106.7577316  -106.95928954 -107.12121934 -107.22597341 -107.2622    ]","[-58.5531     -57.7570415  -55.45513128 -51.89681703 -47.46769733
 -42.647736   -37.95925065 -33.91031142 -30.9396837  -29.36928109
 -29.36928109 -30.9396837  -33.91031142 -37.95925065 -42.647736
 -47.46769733 -51.89681703 -55.45513128 -57.7570415  -58.5531    ]"
730,"[-118.8023     -118.83290784 -118.92141453 -119.05822899 -119.22852525
 -119.41384907 -119.59411775 -119.74979636 -119.86401472 -119.9243955
 -119.9243955  -119.86401472 -119.74979636 -119.59411775 -119.41384907
 -119.22852525 -119.05822899 -118.92141453 -118.83290784 -118.8023    ]","[-115.303      -114.16399715 -110.87041722 -105.77917071  -99.44197317
  -92.54555829  -85.83725963  -80.04402544  -75.79364254  -73.54670586
  -73.54670586  -75.79364254  -80.04402544  -85.83725963  -92.54555829
  -99.44197317 -105.77917071 -110.87041722 -114.16399715 -115.303     ]"
731,"[-88.3624     -87.53209799 -85.13116808 -81.41978827 -76.80014415
 -71.77284585 -66.88267914 -62.65956947 -59.56115629 -57.92320075
 -57.92320075 -59.56115629 -62.65956947 -66.88267914 -71.77284585
 -76.80014415 -81.41978827 -85.13116808 -87.53209799 -88.3624    ]","[ -5.4926      -5.78577207  -6.63351853  -7.94397291  -9.57512713
 -11.35022032 -13.0768936  -14.56803513 -15.66205657 -16.24040374
 -16.24040374 -15.66205657 -14.56803513 -13.0768936  -11.35022032
  -9.57512713  -7.94397291  -6.63351853  -5.78577207  -5.4926    ]"
732,"[-95.8241     -94.5831848  -90.9949116  -85.4481255  -78.54390682
 -71.0304348  -63.72191071 -57.41032653 -52.77964036 -50.33165888
 -50.33165888 -52.77964036 -57.41032653 -63.72191071 -71.0304348
 -78.54390682 -85.4481255  -90.9949116  -94.5831848  -95.8241    ]","[-18.747      -19.70490782 -22.47482711 -26.75659412 -32.08621298
 -37.88613676 -43.52785375 -48.39999636 -51.97459234 -53.86427876
 -53.86427876 -51.97459234 -48.39999636 -43.52785375 -37.88613676
 -32.08621298 -26.75659412 -22.47482711 -19.70490782 -18.747     ]"
733,"[-5.2565     -5.23453973 -5.17103865 -5.07287809 -4.95069527 -4.81773059
 -4.68839284 -4.57669778 -4.49474929 -4.45142776 -4.45142776 -4.49474929
 -4.57669778 -4.68839284 -4.81773059 -4.95069527 -5.07287809 -5.17103865
 -5.23453973 -5.2565    ]","[-109.9854     -108.75748866 -105.20681788  -99.71815794  -92.8862903
  -85.45155384  -78.21961761  -71.97417411  -67.39201406  -64.9696856
  -64.9696856   -67.39201406  -71.97417411  -78.21961761  -85.45155384
  -92.8862903   -99.71815794 -105.20681788 -108.75748866 -109.9854    ]"
734,"[-34.9219     -34.2853447  -32.44465945 -29.59931105 -26.05763715
 -22.20343308 -18.45436164 -15.21669291 -12.84127853 -11.5855315
 -11.5855315  -12.84127853 -15.21669291 -18.45436164 -22.20343308
 -26.05763715 -29.59931105 -32.44465945 -34.2853447  -34.9219    ]","[ -60.6675      -62.04648371  -66.03400055  -72.19794121  -79.87034706
  -88.21979389  -96.34148957 -103.35532237 -108.50123465 -111.22158699
 -111.22158699 -108.50123465 -103.35532237  -96.34148957  -88.21979389
  -79.87034706  -72.19794121  -66.03400055  -62.04648371  -60.6675    ]"
735,"[-78.2652     -78.53097185 -79.29948689 -80.48746459 -81.96616914
 -83.57535995 -85.14065623 -86.49243384 -87.4842067  -88.00850083
 -88.00850083 -87.4842067  -86.49243384 -85.14065623 -83.57535995
 -81.96616914 -80.48746459 -79.29948689 -78.53097185 -78.2652    ]","[-73.2785     -71.96749398 -68.17654377 -62.31645763 -55.02226685
 -47.08441016 -39.36307751 -32.69499509 -27.80275312 -25.2165019
 -25.2165019  -27.80275312 -32.69499509 -39.36307751 -47.08441016
 -55.02226685 -62.31645763 -68.17654377 -71.96749398 -73.2785    ]"
736,"[-59.8643     -60.3185249  -61.63197728 -63.6623242  -66.18954606
 -68.93977917 -71.61499308 -73.92528687 -75.62030435 -76.51636408
 -76.51636408 -75.62030435 -73.92528687 -71.61499308 -68.93977917
 -66.18954606 -63.6623242  -61.63197728 -60.3185249  -59.8643    ]","[-74.3784     -74.05504272 -73.12001165 -71.67463191 -69.87553284
 -67.91767472 -66.01322188 -64.36855131 -63.1618886  -62.52399438
 -62.52399438 -63.1618886  -64.36855131 -66.01322188 -67.91767472
 -69.87553284 -71.67463191 -73.12001165 -74.05504272 -74.3784    ]"
737,"[-12.6212     -12.49263515 -12.1208726  -11.54619859 -10.83088796
 -10.05245573  -9.2952571   -8.64134629  -8.16158468  -7.9079619
  -7.9079619   -8.16158468  -8.64134629  -9.2952571  -10.05245573
 -10.83088796 -11.54619859 -12.1208726  -12.49263515 -12.6212    ]","[ -48.3407      -49.97447813  -54.69876731  -62.00161749  -71.09165156
  -80.98382326  -90.60616231  -98.91593896 -105.01265997 -108.23565102
 -108.23565102 -105.01265997  -98.91593896  -90.60616231  -80.98382326
  -71.09165156  -62.00161749  -54.69876731  -49.97447813  -48.3407    ]"
738,"[ -39.9734      -42.12540912  -48.3482329   -57.96753183  -69.94090562
  -82.97085341  -95.6453782  -106.59099855 -114.62158666 -118.8669037
 -118.8669037  -114.62158666 -106.59099855  -95.6453782   -82.97085341
  -69.94090562  -57.96753183  -48.3482329   -42.12540912  -39.9734    ]","[-2.7435     -2.72290513 -2.66335231 -2.57129499 -2.45670903 -2.33201159
 -2.21071557 -2.10596527 -2.02911203 -1.98848407 -1.98848407 -2.02911203
 -2.10596527 -2.21071557 -2.33201159 -2.45670903 -2.57129499 -2.66335231
 -2.72290513 -2.7435    ]"
739,"[-119.0754     -118.71256516 -117.66337942 -116.04153834 -114.02279356
 -111.82590741 -109.68894659 -107.84348396 -106.48950403 -105.77373153
 -105.77373153 -106.48950403 -107.84348396 -109.68894659 -111.82590741
 -114.02279356 -116.04153834 -117.66337942 -118.71256516 -119.0754    ]","[-118.0772     -117.92942736 -117.50212291 -116.84159171 -116.01941257
 -115.12468135 -114.25435607 -113.50274997 -112.95131124 -112.65979682
 -112.65979682 -112.95131124 -113.50274997 -114.25435607 -115.12468135
 -116.01941257 -116.84159171 -117.50212291 -117.92942736 -118.0772    ]"
740,"[-112.5884     -110.07777687 -102.81797247  -91.59569924  -77.62706463
  -62.42578693  -47.63916046  -34.86954564  -25.50072837  -20.54796537
  -20.54796537  -25.50072837  -34.86954564  -47.63916046  -62.42578693
  -77.62706463  -91.59569924 -102.81797247 -110.07777687 -112.5884    ]","[-70.3349     -70.75811069 -71.98188131 -73.87359733 -76.22826196
 -78.79071075 -81.28326262 -83.4358109  -85.01509358 -85.84997087
 -85.84997087 -85.01509358 -83.4358109  -81.28326262 -78.79071075
 -76.22826196 -73.87359733 -71.98188131 -70.75811069 -70.3349    ]"
741,"[-53.4178     -53.76315006 -54.76177622 -56.30546183 -58.2269246
 -60.31794423 -62.3519263  -64.10845728 -65.3971898  -66.07846968
 -66.07846968 -65.3971898  -64.10845728 -62.3519263  -60.31794423
 -58.2269246  -56.30546183 -54.76177622 -53.76315006 -53.4178    ]","[-99.5179     -98.131775   -94.12360817 -87.92774656 -80.21560793
 -71.82292215 -63.65916697 -56.60901192 -51.43645071 -48.70201059
 -48.70201059 -51.43645071 -56.60901192 -63.65916697 -71.82292215
 -80.21560793 -87.92774656 -94.12360817 -98.131775   -99.5179    ]"
742,"[-103.4725     -102.78453068 -100.79517488  -97.72001015  -93.89227833
  -89.72677353  -85.67489285  -82.17572043  -79.60844589  -78.25127326
  -78.25127326  -79.60844589  -82.17572043  -85.67489285  -89.72677353
  -93.89227833  -97.72001015 -100.79517488 -102.78453068 -103.4725    ]","[-101.9573     -101.23727616  -99.1552304   -95.93678468  -91.93070754
  -87.57111959  -83.33044984  -79.66824065  -76.98134921  -75.56094191
  -75.56094191  -76.98134921  -79.66824065  -83.33044984  -87.57111959
  -91.93070754  -95.93678468  -99.1552304  -101.23727616 -101.9573    ]"
743,"[-110.8459     -108.88173708 -103.20209586  -94.4224536   -83.49422075
  -71.60164092  -60.03345967  -50.04326893  -42.71366089  -38.8389123
  -38.8389123   -42.71366089  -50.04326893  -60.03345967  -71.60164092
  -83.49422075  -94.4224536  -103.20209586 -108.88173708 -110.8459    ]","[-3.6765     -3.65185768 -3.5806011  -3.47045202 -3.3333468  -3.18414291
 -3.03900892 -2.91367234 -2.82171534 -2.77310288 -2.77310288 -2.82171534
 -2.91367234 -3.03900892 -3.18414291 -3.3333468  -3.47045202 -3.5806011
 -3.65185768 -3.6765    ]"
744,"[-10.3665     -11.11065142 -13.26246533 -16.5887593  -20.72907777
 -25.23475299 -29.61752513 -33.40245283 -36.17938045 -37.64738478
 -37.64738478 -36.17938045 -33.40245283 -29.61752513 -25.23475299
 -20.72907777 -16.5887593  -13.26246533 -11.11065142 -10.3665    ]","[-44.1673     -45.45719642 -49.18710538 -54.95283337 -62.1295743
 -69.93961693 -77.53662196 -84.09733601 -88.91080391 -91.45541173
 -91.45541173 -88.91080391 -84.09733601 -77.53662196 -69.93961693
 -62.1295743  -54.95283337 -49.18710538 -45.45719642 -44.1673    ]"
745,"[-84.492      -82.42292843 -76.43992972 -67.19135462 -55.67942975
 -43.15165079 -30.96559699 -20.44181635 -12.72072381  -8.63901954
  -8.63901954 -12.72072381 -20.44181635 -30.96559699 -43.15165079
 -55.67942975 -67.19135462 -76.43992972 -82.42292843 -84.492     ]","[-30.0958     -30.23447535 -30.63547378 -31.25534088 -32.02690444
 -32.86655358 -33.68329927 -34.38863445 -34.90612512 -35.17969312
 -35.17969312 -34.90612512 -34.38863445 -33.68329927 -32.86655358
 -32.02690444 -31.25534088 -30.63547378 -30.23447535 -30.0958    ]"
746,"[ -80.6025      -81.37549832  -83.61072692  -87.0659641   -91.3667813
  -96.04711823 -100.59978778 -104.53143754 -107.41601227 -108.94092353
 -108.94092353 -107.41601227 -104.53143754 -100.59978778  -96.04711823
  -91.3667813   -87.0659641   -83.61072692  -81.37549832  -80.6025    ]","[-0.8789     -0.86205458 -0.81334378 -0.73804618 -0.64432144 -0.54232608
 -0.44311289 -0.35743316 -0.29457161 -0.26134027 -0.26134027 -0.29457161
 -0.35743316 -0.44311289 -0.54232608 -0.64432144 -0.73804618 -0.81334378
 -0.86205458 -0.8789    ]"
747,"[-35.0386     -34.14992149 -31.58018806 -27.60787022 -22.66343022
 -17.28267487 -12.04869249  -7.5286663   -4.21241127  -2.45929508
  -2.45929508  -4.21241127  -7.5286663  -12.04869249 -17.28267487
 -22.66343022 -27.60787022 -31.58018806 -34.14992149 -35.0386    ]","[-111.0304     -111.20981537 -111.72861903 -112.53059056 -113.52882391
 -114.61514499 -115.67183406 -116.58438247 -117.25390143 -117.60783818
 -117.60783818 -117.25390143 -116.58438247 -115.67183406 -114.61514499
 -113.52882391 -112.53059056 -111.72861903 -111.20981537 -111.0304    ]"
748,"[-29.7923     -30.01104663 -30.64358194 -31.6213609  -32.83842599
 -34.16288933 -35.45122477 -36.56382116 -37.38011143 -37.81163785
 -37.81163785 -37.38011143 -36.56382116 -35.45122477 -34.16288933
 -32.83842599 -31.6213609  -30.64358194 -30.01104663 -29.7923    ]","[-109.0967     -109.07783356 -109.02327873 -108.93894735 -108.83397805
 -108.71974587 -108.60862965 -108.51267056 -108.44226724 -108.40504899
 -108.40504899 -108.44226724 -108.51267056 -108.60862965 -108.71974587
 -108.83397805 -108.93894735 -109.02327873 -109.07783356 -109.0967    ]"
749,"[-17.4223     -17.24843295 -16.74567298 -15.96850194 -15.00113838
 -13.94841114 -12.92439955 -12.04007116 -11.39125668 -11.04826521
 -11.04826521 -11.39125668 -12.04007116 -12.92439955 -13.94841114
 -15.00113838 -15.96850194 -16.74567298 -17.24843295 -17.4223    ]","[-6.9015     -6.82176465 -6.59119917 -6.23478891 -5.79115644 -5.30837624
 -4.83876501 -4.43321244 -4.13566643 -3.97837071 -3.97837071 -4.13566643
 -4.43321244 -4.83876501 -5.30837624 -5.79115644 -6.23478891 -6.59119917
 -6.82176465 -6.9015    ]"
750,"[-15.5169     -15.22853936 -14.39470579 -13.1057581  -11.50137376
  -9.75541272  -8.05707695  -6.59040748  -5.5143407   -4.94548514
  -4.94548514  -5.5143407   -6.59040748  -8.05707695  -9.75541272
 -11.50137376 -13.1057581  -14.39470579 -15.22853936 -15.5169    ]","[ -94.1204      -94.63648535  -96.12881556  -98.43567349 -101.30707528
 -104.43186001 -107.47140875 -110.09633924 -112.02219953 -113.04029278
 -113.04029278 -112.02219953 -110.09633924 -107.47140875 -104.43186001
 -101.30707528  -98.43567349  -96.12881556  -94.63648535  -94.1204    ]"
751,"[-119.9147     -119.53532858 -118.4383251  -116.74256692 -114.63181574
 -112.3348042  -110.10044915 -108.17087762 -106.75518864 -106.00679406
 -106.00679406 -106.75518864 -108.17087762 -110.10044915 -112.3348042
 -114.63181574 -116.74256692 -118.4383251  -119.53532858 -119.9147    ]","[-14.9355     -16.91477449 -22.63811285 -31.48530256 -42.49761335
 -54.48169046 -66.13887318 -76.2059249  -83.59192434 -87.49648387
 -87.49648387 -83.59192434 -76.2059249  -66.13887318 -54.48169046
 -42.49761335 -31.48530256 -22.63811285 -16.91477449 -14.9355    ]"
752,"[-16.4248     -16.16226286 -15.40310142 -14.22958261 -12.76887538
 -11.17927004  -9.63302499  -8.29769987  -7.31799789  -6.80008494
  -6.80008494  -7.31799789  -8.29769987  -9.63302499 -11.17927004
 -12.76887538 -14.22958261 -15.40310142 -16.16226286 -16.4248    ]","[-13.0602     -15.25416825 -21.59832249 -31.40517518 -43.61200165
 -56.89600286 -69.81765114 -80.9766854  -89.16385113 -93.4919419
 -93.4919419  -89.16385113 -80.9766854  -69.81765114 -56.89600286
 -43.61200165 -31.40517518 -21.59832249 -15.25416825 -13.0602    ]"
753,"[-103.1622     -100.51976106  -92.8787935   -81.06731472  -66.36528172
  -50.3658879   -34.80291584  -21.36285503  -11.50214463   -6.28934559
   -6.28934559  -11.50214463  -21.36285503  -34.80291584  -50.3658879
  -66.36528172  -81.06731472  -92.8787935  -100.51976106 -103.1622    ]","[-117.8948     -117.29881675 -115.57545103 -112.91145627 -109.59551762
 -105.98696849 -102.47685118  -99.44554135  -97.22152847  -96.04581884
  -96.04581884  -97.22152847  -99.44554135 -102.47685118 -105.98696849
 -109.59551762 -112.91145627 -115.57545103 -117.29881675 -117.8948    ]"
754,"[-13.0524     -14.55838809 -18.9131552  -25.64479472 -34.02382908
 -43.14225988 -52.01196365 -59.67177037 -65.29162113 -68.26251788
 -68.26251788 -65.29162113 -59.67177037 -52.01196365 -43.14225988
 -34.02382908 -25.64479472 -18.9131552  -14.55838809 -13.0524    ]","[-23.0654     -23.71111219 -25.57827581 -28.46455472 -32.0571758
 -35.96682283 -39.76982488 -43.05406767 -45.46365254 -46.73746356
 -46.73746356 -45.46365254 -43.05406767 -39.76982488 -35.96682283
 -32.0571758  -28.46455472 -25.57827581 -23.71111219 -23.0654    ]"
755,"[-64.3211     -64.35217381 -64.44202792 -64.58092523 -64.75381407
 -64.94195925 -65.12497233 -65.28302098 -65.3989782  -65.46027821
 -65.46027821 -65.3989782  -65.28302098 -65.12497233 -64.94195925
 -64.75381407 -64.58092523 -64.44202792 -64.35217381 -64.3211    ]","[-115.3422     -112.84000229 -105.60456112  -94.41994881  -80.49819164
  -65.34792802  -50.6109241   -37.88416293  -28.54678654  -23.61064456
  -23.61064456  -28.54678654  -37.88416293  -50.6109241   -65.34792802
  -80.49819164  -94.41994881 -105.60456112 -112.84000229 -115.3422    ]"
756,"[-45.6443     -44.7042454  -41.9859511  -37.78398646 -32.55369956
 -26.86187313 -21.32530489 -16.54396792 -13.03599426 -11.18152729
 -11.18152729 -13.03599426 -16.54396792 -21.32530489 -26.86187313
 -32.55369956 -37.78398646 -41.9859511  -44.7042454  -45.6443    ]","[-34.0419     -33.96865033 -33.75683905 -33.42941921 -33.02187183
 -32.57836098 -32.14694796 -31.77438304 -31.50103944 -31.35653815
 -31.35653815 -31.50103944 -31.77438304 -32.14694796 -32.57836098
 -33.02187183 -33.42941921 -33.75683905 -33.96865033 -34.0419    ]"
757,"[ -99.6066      -99.94489005 -100.92310123 -102.43522917 -104.31741136
 -106.36568414 -108.35808538 -110.07870749 -111.34109437 -112.0084468
 -112.0084468  -111.34109437 -110.07870749 -108.35808538 -106.36568414
 -104.31741136 -102.43522917 -100.92310123  -99.94489005  -99.6066    ]","[-111.3182     -111.19160199 -110.8255268  -110.25964437 -109.55527684
 -108.78875336 -108.04313864 -107.39923161 -106.92680958 -106.67706681
 -106.67706681 -106.92680958 -107.39923161 -108.04313864 -108.78875336
 -109.55527684 -110.25964437 -110.8255268  -111.19160199 -111.3182    ]"
758,"[-71.4529     -69.52839344 -63.96342393 -55.36104224 -44.65344992
 -33.00098074 -21.66636055 -11.87787131  -4.69624773  -0.89973014
  -0.89973014  -4.69624773 -11.87787131 -21.66636055 -33.00098074
 -44.65344992 -55.36104224 -63.96342393 -69.52839344 -71.4529    ]","[-110.5576     -110.64760298 -110.9078587  -111.31016441 -111.81092406
 -112.35587255 -112.88595627 -113.34373242 -113.67959385 -113.85714476
 -113.85714476 -113.67959385 -113.34373242 -112.88595627 -112.35587255
 -111.81092406 -111.31016441 -110.9078587  -110.64760298 -110.5576    ]"
759,"[ -39.5375      -41.47528133  -47.07863665  -55.74035546  -66.52180613
  -78.2546512   -89.66745483  -99.52346267 -106.75462334 -110.57732838
 -110.57732838 -106.75462334  -99.52346267  -89.66745483  -78.2546512
  -66.52180613  -55.74035546  -47.07863665  -41.47528133  -39.5375    ]","[-8.8495     -8.73515813 -8.40452322 -7.8934247  -7.25724802 -6.56493281
 -5.89150215 -5.3099327  -4.88324654 -4.65768174 -4.65768174 -4.88324654
 -5.3099327  -5.89150215 -6.56493281 -7.25724802 -7.8934247  -8.40452322
 -8.73515813 -8.8495    ]"
760,"[-21.1538     -21.52604097 -22.60242579 -24.26631146 -26.33739015
 -28.59122836 -30.78358774 -32.67689213 -34.06597262 -34.80030079
 -34.80030079 -34.06597262 -32.67689213 -30.78358774 -28.59122836
 -26.33739015 -24.26631146 -22.60242579 -21.52604097 -21.1538    ]","[-71.1221     -69.90673197 -66.39233185 -60.95973944 -54.19766041
 -46.83887096 -39.6808101  -33.4991648  -28.96381223 -26.56622824
 -26.56622824 -28.96381223 -33.4991648  -39.6808101  -46.83887096
 -54.19766041 -60.95973944 -66.39233185 -69.90673197 -71.1221    ]"
761,"[-76.7422     -76.69164749 -76.5454681  -76.31950263 -76.03823796
 -75.73215347 -75.43441817 -75.17729629 -74.98865099 -74.8889249
 -74.8889249  -74.98865099 -75.17729629 -75.43441817 -75.73215347
 -76.03823796 -76.31950263 -76.5454681  -76.69164749 -76.7422    ]","[-53.507      -53.53637247 -53.62130693 -53.7525994  -53.91602232
 -54.09386626 -54.26685909 -54.41625434 -54.52586272 -54.58380646
 -54.58380646 -54.52586272 -54.41625434 -54.26685909 -54.09386626
 -53.91602232 -53.7525994  -53.62130693 -53.53637247 -53.507     ]"
762,"[-5.1579     -5.09864032 -4.92728298 -4.6623972  -4.33268748 -3.97388297
 -3.62486571 -3.32345715 -3.10231956 -2.98541664 -2.98541664 -3.10231956
 -3.32345715 -3.62486571 -3.97388297 -4.33268748 -4.6623972  -4.92728298
 -5.09864032 -5.1579    ]","[-116.423      -116.51841042 -116.79430248 -117.22077899 -117.75162461
 -118.32931397 -118.89124547 -119.37652512 -119.73256533 -119.92078362
 -119.92078362 -119.73256533 -119.37652512 -118.89124547 -118.32931397
 -117.75162461 -117.22077899 -116.79430248 -116.51841042 -116.423     ]"
763,"[-104.6558     -104.88946856 -105.56515264 -106.60963137 -107.90971929
 -109.32453169 -110.70075169 -111.88924451 -112.7612185  -113.22218176
 -113.22218176 -112.7612185  -111.88924451 -110.70075169 -109.32453169
 -107.90971929 -106.60963137 -105.56515264 -104.88946856 -104.6558    ]","[-100.2203      -99.69290129  -98.16785698  -95.81042929  -92.87608209
  -89.68279742  -86.57661725  -83.89414437  -81.92606635  -80.88565498
  -80.88565498  -81.92606635  -83.89414437  -86.57661725  -89.68279742
  -92.87608209  -95.81042929  -98.16785698  -99.69290129 -100.2203    ]"
764,"[-0.6216     -0.62876838 -0.64949671 -0.68153876 -0.72142227 -0.76482525
 -0.8070443  -0.84350435 -0.87025438 -0.8843956  -0.8843956  -0.87025438
 -0.84350435 -0.8070443  -0.76482525 -0.72142227 -0.68153876 -0.64949671
 -0.62876838 -0.6216    ]","[-68.7257     -67.06269027 -62.253874   -54.82036104 -45.56768786
 -35.49852518 -25.70402301 -17.24556763 -11.03976394  -7.75910706
  -7.75910706 -11.03976394 -17.24556763 -25.70402301 -35.49852518
 -45.56768786 -54.82036104 -62.253874   -67.06269027 -68.7257    ]"
765,"[-68.193      -67.01088934 -63.59265741 -58.30872266 -51.73168142
 -44.57425816 -37.61207075 -31.59958022 -27.18833322 -24.85635681
 -24.85635681 -27.18833322 -31.59958022 -37.61207075 -44.57425816
 -51.73168142 -58.30872266 -63.59265741 -67.01088934 -68.193     ]","[-8.9099     -8.78649335 -8.42964642 -7.87802912 -7.19141775 -6.44421728
 -5.7173985  -5.08972349 -4.62921058 -4.3857635  -4.3857635  -4.62921058
 -5.08972349 -5.7173985  -6.44421728 -7.19141775 -7.87802912 -8.42964642
 -8.78649335 -8.9099    ]"
766,"[-5.4937     -5.45679071 -5.35006252 -5.18508109 -4.97972471 -4.75624695
 -4.53886508 -4.35113579 -4.21340248 -4.14059068 -4.14059068 -4.21340248
 -4.35113579 -4.53886508 -4.75624695 -4.97972471 -5.18508109 -5.35006252
 -5.45679071 -5.4937    ]","[ -7.9089      -8.15574581  -8.86953367  -9.97291358 -11.34631722
 -12.84091498 -14.29474402 -15.55025938 -16.47140652 -16.95836483
 -16.95836483 -16.47140652 -15.55025938 -14.29474402 -12.84091498
 -11.34631722  -9.97291358  -8.86953367  -8.15574581  -7.9089    ]"
767,"[-71.0185     -69.91420662 -66.72099381 -61.78489572 -55.64081516
 -48.95455862 -42.45068572 -36.83399202 -32.71313342 -30.53466891
 -30.53466891 -32.71313342 -36.83399202 -42.45068572 -48.95455862
 -55.64081516 -61.78489572 -66.72099381 -69.91420662 -71.0185    ]","[-66.7789     -66.17838707 -64.44192318 -61.75768113 -58.4165402
 -54.78056486 -51.24376944 -48.18942061 -45.94850447 -44.76385904
 -44.76385904 -45.94850447 -48.18942061 -51.24376944 -54.78056486
 -58.4165402  -61.75768113 -64.44192318 -66.17838707 -66.7789    ]"
768,"[-63.3872     -62.55845846 -60.16204083 -56.45763616 -51.84667417
 -46.82882414 -41.94784797 -37.73267518 -34.64008513 -33.00520796
 -33.00520796 -34.64008513 -37.73267518 -41.94784797 -46.82882414
 -51.84667417 -56.45763616 -60.16204083 -62.55845846 -63.3872    ]","[-45.7475     -44.97881463 -42.75605749 -39.32009882 -35.04327806
 -30.38905508 -25.86178718 -21.95207407 -19.08359384 -17.56719082
 -17.56719082 -19.08359384 -21.95207407 -25.86178718 -30.38905508
 -35.04327806 -39.32009882 -42.75605749 -44.97881463 -45.7475    ]"
